Año;Periodo;Precio del gasóleo
2007;Semana 2;0,9
2007;Semana 3;0,89
2007;Semana 4;0,88
2007;Semana 5;0,88
2007;Semana 6;0,89
2007;Semana 7;0,9
2007;Semana 8;0,9
2007;Semana 9;0,91
2007;Semana 10;0,92
2007;Semana 11;0,92
2007;Semana 12;0,92
2007;Semana 13;0,92
2007;Semana 14;0,94
2007;Semana 16;0,95
2007;Semana 17;0,95
2007;Semana 18;0,95
2007;Semana 19;0,95
2007;Semana 20;0,95
2007;Semana 21;0,96
2007;Semana 22;0,96
2007;Semana 23;0,95
2007;Semana 24;0,96
2007;Semana 25;0,97
2007;Semana 26;0,98
2007;Semana 27;0,98
2007;Semana 28;0,97
2007;Semana 29;0,98
2007;Semana 30;0,98
2007;Semana 31;0,98
2007;Semana 32;0,98
2007;Semana 33;0,96
2007;Semana 34;0,97
2007;Semana 35;0,97
2007;Semana 36;0,97
2007;Semana 37;0,98
2007;Semana 38;1
2007;Semana 39;1
2007;Semana 40;1
2007;Semana 41;0,99
2007;Semana 42;1
2007;Semana 43;1,01
2007;Semana 44;1,02
2007;Semana 45;1,03
2007;Semana 46;1,05
2007;Semana 47;1,05
2007;Semana 48;1,07
2007;Semana 49;1,08
2007;Semana 50;1,07
2007;Semana 51;1,06
2008;Semana 2;1,08
2008;Semana 3;1,07
2008;Semana 4;1,05
2008;Semana 5;1,05
2008;Semana 6;1,05
2008;Semana 7;1,06
2008;Semana 8;1,08
2008;Semana 9;1,1
2008;Semana 10;1,11
2008;Semana 11;1,14
2008;Semana 12;1,15
2008;Semana 14;1,13
2008;Semana 15;1,13
2008;Semana 16;1,15
2008;Semana 17;1,17
2008;Semana 18;1,19
2008;Semana 19;1,2
2008;Semana 20;1,22
2008;Semana 21;1,27
2008;Semana 22;1,31
2008;Semana 23;1,3
2008;Semana 24;1,29
2008;Semana 25;1,3
2008;Semana 26;1,3
2008;Semana 27;1,31
2008;Semana 28;1,32
2008;Semana 29;1,33
2008;Semana 30;1,32
2008;Semana 31;1,29
2008;Semana 32;1,26
2008;Semana 33;1,22
2008;Semana 34;1,2
2008;Semana 35;1,19
2008;Semana 36;1,2
2008;Semana 37;1,19
2008;Semana 38;1,19
2008;Semana 39;1,16
2008;Semana 40;1,15
2008;Semana 41;1,16
2008;Semana 42;1,13
2008;Semana 43;1,07
2008;Semana 44;1,05
2008;Semana 45;1,02
2008;Semana 46;1,01
2008;Semana 47;1
2008;Semana 48;0,97
2008;Semana 49;0,95
2008;Semana 50;0,92
2008;Semana 51;0,89
2009;Semana 2;0,84
2009;Semana 3;0,88
2009;Semana 4;0,88
2009;Semana 5;0,87
2009;Semana 6;0,87
2009;Semana 7;0,87
2009;Semana 8;0,87
2009;Semana 9;0,85
2009;Semana 10;0,85
2009;Semana 11;0,84
2009;Semana 12;0,83
2009;Semana 13;0,84
2009;Semana 14;0,86
2009;Semana 15;0,86
2009;Semana 17;0,87
2009;Semana 18;0,87
2009;Semana 19;0,86
2009;Semana 20;0,87
2009;Semana 21;0,88
2009;Semana 22;0,87
2009;Semana 23;0,87
2009;Semana 24;0,9
2009;Semana 25;0,95
2009;Semana 26;0,96
2009;Semana 27;0,95
2009;Semana 28;0,94
2009;Semana 29;0,92
2009;Semana 30;0,91
2009;Semana 31;0,93
2009;Semana 32;0,95
2009;Semana 33;0,97
2009;Semana 34;0,97
2009;Semana 35;0,97
2009;Semana 36;0,96
2009;Semana 37;0,95
2009;Semana 38;0,94
2009;Semana 39;0,94
2009;Semana 40;0,93
2009;Semana 41;0,93
2009;Semana 42;0,94
2009;Semana 43;0,96
2009;Semana 44;0,97
2009;Semana 45;0,98
2009;Semana 46;0,98
2009;Semana 47;0,97
2009;Semana 48;0,97
2009;Semana 49;0,96
2009;Semana 50;0,97
2009;Semana 51;0,96
2009;Semana 52;0,96
2010;Semana 2;0,99
2010;Semana 3;1,01
2010;Semana 4;1
2010;Semana 5;1
2010;Semana 6;0,99
2010;Semana 7;0,99
2010;Semana 8;0,99
2010;Semana 9;1,01
2010;Semana 10;1,01
2010;Semana 11;1,02
2010;Semana 12;1,04
2010;Semana 13;1,04
2010;Semana 14;1,05
2010;Semana 16;1,09
2010;Semana 17;1,08
2010;Semana 18;1,08
2010;Semana 19;1,1
2010;Semana 20;1,1
2010;Semana 21;1,1
2010;Semana 22;1,07
2010;Semana 23;1,07
2010;Semana 24;1,08
2010;Semana 25;1,09
2010;Semana 26;1,1
2010;Semana 27;1,09
2010;Semana 28;1,09
2010;Semana 29;1,08
2010;Semana 30;1,08
2010;Semana 31;1,08
2010;Semana 32;1,08
2010;Semana 33;1,1
2010;Semana 34;1,09
2010;Semana 35;1,08
2010;Semana 36;1,09
2010;Semana 37;1,09
2010;Semana 38;1,09
2010;Semana 39;1,1
2010;Semana 40;1,09
2010;Semana 41;1,09
2010;Semana 42;1,1
2010;Semana 43;1,1
2010;Semana 44;1,1
2010;Semana 46;1,1
2010;Semana 47;1,13
2010;Semana 48;1,12
2010;Semana 49;1,13
2010;Semana 50;1,15
2010;Semana 51;1,16
2010;Semana 52;1,17
2011;Semana 2;1,19
2011;Semana 3;1,19
2011;Semana 4;1,22
2011;Semana 5;1,21
2011;Semana 6;1,2
2011;Semana 7;1,23
2011;Semana 8;1,24
2011;Semana 9;1,25
2011;Semana 10;1,27
2011;Semana 11;1,29
2011;Semana 12;1,29
2011;Semana 13;1,29
2011;Semana 14;1,29
2011;Semana 15;1,29
2011;Semana 16;1,31
2011;Semana 17;1,3
2011;Semana 19;1,29
2011;Semana 20;1,24
2011;Semana 21;1,24
2011;Semana 22;1,24
2011;Semana 23;1,26
2011;Semana 24;1,25
2011;Semana 25;1,26
2011;Semana 26;1,27
2011;Semana 27;1,24
2011;Semana 28;1,24
2011;Semana 29;1,26
2011;Semana 30;1,28
2011;Semana 31;1,28
2011;Semana 32;1,28
2011;Semana 33;1,27
2011;Semana 35;1,24
2011;Semana 36;1,24
2011;Semana 37;1,27
2011;Semana 38;1,28
2011;Semana 39;1,28
2011;Semana 40;1,28
2011;Semana 41;1,26
2011;Semana 42;1,27
2011;Semana 43;1,28
2011;Semana 44;1,29
2011;Semana 45;1,3
2011;Semana 46;1,3
2011;Semana 47;1,32
2011;Semana 48;1,32
2011;Semana 49;1,3
2011;Semana 50;1,3
2011;Semana 51;1,3
2011;Semana 52;1,29
2012;Semana 3;1,34
2012;Semana 4;1,36
2012;Semana 5;1,33
2012;Semana 6;1,32
2012;Semana 7;1,33
2012;Semana 8;1,35
2012;Semana 9;1,37
2012;Semana 10;1,37
2012;Semana 11;1,36
2012;Semana 12;1,39
2012;Semana 13;1,4
2012;Semana 14;1,39
2012;Semana 15;1,39
2012;Semana 17;1,38
2012;Semana 18;1,37
2012;Semana 19;1,37
2012;Semana 20;1,37
2012;Semana 21;1,35
2012;Semana 22;1,35
2012;Semana 23;1,33
2012;Semana 24;1,32
2012;Semana 25;1,3
2012;Semana 26;1,29
2012;Semana 27;1,28
2012;Semana 28;1,29
2012;Semana 29;1,32
2012;Semana 30;1,34
2012;Semana 31;1,38
2012;Semana 32;1,37
2012;Semana 33;1,36
2012;Semana 34;1,4
2012;Semana 35;1,42
2012;Semana 36;1,42
2012;Semana 37;1,44
2012;Semana 38;1,44
2012;Semana 39;1,43
2012;Semana 40;1,41
2012;Semana 41;1,42
2012;Semana 42;1,42
2012;Semana 43;1,43
2012;Semana 44;1,4
2012;Semana 45;1,39
2012;Semana 46;1,37
2012;Semana 47;1,35
2012;Semana 48;1,35
2012;Semana 49;1,35
2012;Semana 50;1,35
2012;Semana 51;1,35
2012;Semana 52;1,34
2013;Semana 2;1,36
2013;Semana 3;1,38
2013;Semana 4;1,37
2013;Semana 5;1,38
