Marca;MARCA;MODELO;Ventas total;Precio;range km;tiempo;kWh;eficiencia Wh/km;cargarapida km/h;velocidadmax km/h;Segment_num;marketsegment;personas;towingcapacity;motor;url
9;SKODA;ENYAQ COUPE IV 60;1043;45000;345;8.8;58.0;168;480;160;3;C;5;1000;Battery Electric Vehicle ;https://ev-database.org/car/1628/9-Enyaq-Coupe-iV-60
36;GENESIS;GV60 SPORT;0;59000;375;5.2;72.5;193;980;185;3;C;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1648/36-GV60-Sport
29;PORSCHE;TAYCAN TURBO S CROSS TURISMO;636;193200;385;2.9;83.7;217;850;250;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1439/29-Taycan-Turbo-S-Cross-Turismo
14;AUDI;E-TRON 50 QUATTRO;1352;69100;280;6.8;64.7;231;470;190;5;E;5;1800;Battery Electric Vehicle ;https://ev-database.org/car/1660/14-e-tron-50-quattro
29;PORSCHE;TAYCAN TURBO S SPORT TURISMO;636;192700;395;2.8;83.7;212;870;260;6;F;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1626/29-Taycan-Turbo-S-Sport-Turismo
14;AUDI;E-TRON S;1352;86400;320;4.5;86.5;270;510;210;5;E;5;1800;Battery Electric Vehicle ;https://ev-database.org/car/1658/14-e-tron-S
15;PEUGEOT;E-RIFTER LONG 50 KWH;5323;45370;195;11.7;45.0;231;310;135;7;N;7;750;Battery Electric Vehicle ;https://ev-database.org/car/1523/15-e-Rifter-Long-50-kWh
14;AUDI;E-TRON SPORTBACK 50 QUATTRO;1352;71350;295;6.8;64.7;219;490;190;5;E;5;1800;Battery Electric Vehicle ;https://ev-database.org/car/1661/14-e-tron-Sportback-50-quattro
21;TOYOTA;PROACE VERSO L 75 KWH;342;64295;250;13.1;65.0;260;290;130;7;N;8;1000;Battery Electric Vehicle ;https://ev-database.org/car/1515/21-PROACE-Verso-L-75-kWh
7;MERCEDES;EQV 300 EXTRA-LONG;2647;76896;305;12.1;90.0;295;310;160;7;N;4;1134;Battery Electric Vehicle ;https://ev-database.org/car/1315/7-EQV-300-Extra-Long
30;CITROEN;E-JUMPY COMBI M 75 KWH;2563;53830;250;13.3;65.0;260;290;130;7;N;9;1000;Battery Electric Vehicle ;https://ev-database.org/car/1597/30-e-Jumpy-Combi-M-75-kWh
22;OPEL;COMBO-E LIFE 50 KWH;2141;39434;200;11.7;45.0;225;320;135;7;N;7;750;Battery Electric Vehicle ;https://ev-database.org/car/1544/22-Combo-e-Life-50-kWh
14;AUDI;E-TRON S SPORTBACK;1352;88800;330;4.5;86.5;262;530;210;5;E;5;1800;Battery Electric Vehicle ;https://ev-database.org/car/1659/14-e-tron-S-Sportback
