Marca;Marca_url;Modelo;Modelo_url;Ventas;Year
GREEN TOUR;https://eu-evs.com/brandCharts/GREEN%20TOUR/ES;EV2;https://eu-evs.com/modelCharts/GREEN%20TOUR/EV2/ES;1;2022
PEUGEOT;https://eu-evs.com/brandCharts/PEUGEOT/ES;E BOXER;https://eu-evs.com/modelCharts/PEUGEOT/E%20BOXER/ES;1;2022
TOYOTA;https://eu-evs.com/brandCharts/TOYOTA/ES;TOYOTA C-HR;https://eu-evs.com/modelCharts/TOYOTA/TOYOTA%20C-HR/ES;1;2022
PIAGGIO;https://eu-evs.com/brandCharts/PIAGGIO/ES;PORTER;https://eu-evs.com/modelCharts/PIAGGIO/PORTER/ES;1;2022
CITROEN;https://eu-evs.com/brandCharts/CITROEN/ES;NUEVO ËJUMPER ELÉCTRIC;https://eu-evs.com/modelCharts/CITROEN/NUEVO%20%C3%8BJUMPER%20EL%C3%89CTRIC/ES;1;2022
TILGREEN;https://eu-evs.com/brandCharts/TILGREEN/ES;TILSCOOT;https://eu-evs.com/modelCharts/TILGREEN/TILSCOOT/ES;1;2022
CARROCERIAS SANCA SA;https://eu-evs.com/brandCharts/CARROCERIAS%20SANCA%20SA/ES;NUEVO E-JUMPY TALLA XL;https://eu-evs.com/modelCharts/CARROCERIAS%20SANCA%20SA/NUEVO%20E-JUMPY%20TALLA%20XL/ES;1;2022
SURTRUCK;https://eu-evs.com/brandCharts/SURTRUCK/ES;MASTER Z.E.;https://eu-evs.com/modelCharts/SURTRUCK/MASTER%20Z.E./ES;1;2022
TOYOTA;https://eu-evs.com/brandCharts/TOYOTA/ES;TOYOTA BZ4X;https://eu-evs.com/modelCharts/TOYOTA/TOYOTA%20BZ4X/ES;1;2022
AUDI;https://eu-evs.com/brandCharts/AUDI/ES;A4;https://eu-evs.com/modelCharts/AUDI/A4/ES;1;2022
